season,team,incident,type,min
20/21,Aston Villa,John McGinn goal disallowed for offside against Ross Barkley,AGAINST,1
20/21,Aston Villa,Penalty rescinded after Solly March adjudged not to have fouled Trezeguet,AGAINST,92
20/21,Aston Villa,Ollie Watkins goal disallowed for offside,AGAINST,92
20/21,Aston Villa,Jake Livermore sent off for high tackle on Jack Grealish,FOR,36
20/21,Aston Villa,Ollie Watkins goal ruled out for offside,AGAINST,72
20/21,Aston Villa,Penalty review rejected by referee Anthony Taylor following Matty Cash challenge on Patrick van Aanholt,FOR,24
20/21,Aston Villa,Phil Jagielka sent off for professional foul on Anwar El Ghazi,FOR,57
20/21,Aston Villa,Penalty cancelled. Mario Lemina adjudged not to have fouled Ollie Watkins,AGAINST,45
20/21,Aston Villa,Roberto Firmino goal ruled out for offside against Diogo Jota in the build-up,FOR,45
20/21,Aston Villa,John Stones yellow changed to red for high challenge on Jacob Ramsey,FOR,42
20/21,Leicester City,Jamie Vardy offside in build-up to Harvey Barnes goal,AGAINST,90
20/21,Leicester City,Penalty awarded (scored by Youri Tielemans) for foul on James Maddison by Mateusz Klich,FOR,88
20/21,Leicester City,Penalty awarded (scored by Jamie Vardy) for handball by Max Kilman,FOR,14
20/21,Leicester City,Penalty awarded (scored by Ivan Cavaleiro) for foul on Bobby De Cordova-Reid by Christian Fuchs,AGAINST,35
20/21,Leicester City,Penalty cancelled for challenge on Ayoze Perez by Andre Gomes,AGAINST,81
20/21,Leicester City,Penalty awarded (scored by Jamie Vardy) after foul on Wesley Fofana by Serge Aurier,FOR,45
20/21,Leicester City,James Maddison goal ruled out for offside,AGAINST,47
20/21,Leicester City,Penalty cancelled as Jonny Evans' foul on Christian Pulisic was outside the area,FOR,39
20/21,Leicester City,Penalty cancelled after Thiago's foul on Harvey Barnes adjudged to be outside the area,AGAINST,76
20/21,Leicester City,James Maddison goal allowed after incorrect offside against Daniel Amartey,FOR,79
20/21,Leicester City,Penalty cancelled as foul on Nicolas Pepe by Wilfred Ndidi deemed outside the area,FOR,14
20/21,Leicester City,Penalty awarded (scored by Alexandre Lacazette) for handball against Wilfred Ndidi,AGAINST,45
20/21,Leicester City,Issa Diop goal ruled out for offside,FOR,54
20/21,Leicester City,Timo Werner goal disallowed for handball,FOR,35
20/21,Leicester City,Penalty awarded (scored by Jamie Vardy) for foul on Vardy by Toby Alderweireld,FOR,16
20/21,Brighton & Hove Albion,Neal Maupay goal allowed after being ruled out for offside,FOR,8
20/21,Brighton & Hove Albion,Yves Bissouma sent off for dangerous challenge on Jamal Lewis,AGAINST,86
20/21,Brighton & Hove Albion,Penalty cancelled for challenge on Aaron Connolly by Paul Pogba,AGAINST,48
20/21,Brighton & Hove Albion,Marcus Rashford goal disallowed for offside,FOR,52
20/21,Brighton & Hove Albion,Penalty awarded (scored by Bruno Fernandes) for handball against Neal Maupay,AGAINST,90
20/21,Brighton & Hove Albion,Penalty awarded (scored by Harry Kane) after foul on Kane by Adam Lallana adjudged to be inside the area,AGAINST,11
20/21,Brighton & Hove Albion,Goal for Tariq Lamptey stands after Graham Scott rejects VAR review for foul in the build-up by Solly March on Pierre-Emile Hojbjerg,FOR,56
20/21,Brighton & Hove Albion,Penalty rescinded after Solly March adjudged not to have fouled Trezeguet,FOR,92
20/21,Brighton & Hove Albion,Mohamed Salah goal disallowed for offside,FOR,35
20/21,Brighton & Hove Albion,Offside against Sadio Mane after scoring,FOR,85
20/21,Brighton & Hove Albion,Penalty awarded (scored by Pascal Gross) for a foul on Danny Welbeck by Andrew Robertson,FOR,92
20/21,Brighton & Hove Albion,Penalty conceded (scored by Danny Ings) after Solly March adjudged to have fouled Kyle Walker-Peters inside the area,AGAINST,80
20/21,Brighton & Hove Albion,Adam Lallana goal disallowed for handball in the build-up by Danny Welbeck,AGAINST,49
20/21,Brighton & Hove Albion,John Lundstram sent off for challenge on Joel Veltman,FOR,40
20/21,Brighton & Hove Albion,Penalty conceded (missed by Pascal Gross) for handball against Okay Yokuslu,FOR,17
20/21,Brighton & Hove Albion,Lewis Dunk goal disallowed as referee Lee Mason had blown his whistle before the ball crossed the line,AGAINST,37
20/21,Brighton & Hove Albion,Jakub Moder goal disallowed for offside,AGAINST,56
20/21,Crystal Palace,Red card for Kyle Walker-Peters rescinded,AGAINST,51
20/21,Crystal Palace,Penalty awarded (missed by Jordan Ayew) for handball by Victor Lindelof,FOR,70
20/21,Crystal Palace,Penalty retaken (scored by Wilfried Zaha) for encroachment by David de Gea,FOR,73
20/21,Crystal Palace,Penalty awarded (scored by Richarlison) for handball by Joel Ward,AGAINST,41
20/21,Crystal Palace,Patrick Bamford goal disallowed for offside,FOR,19
20/21,Crystal Palace,Aboubakar Kamara sent off for foul on Eberechi Eze,FOR,86
20/21,Crystal Palace,Penalty for Crystal Palace cancelled for offside against Patrick van Aanholt,AGAINST,38
20/21,Crystal Palace,Luka Milivojevic sent off for a challenge on Joao Moutinho,AGAINST,85
20/21,Crystal Palace,Matheus Pereira sent off for challenge on Patrick van Aanholt,FOR,35
20/21,Crystal Palace,Penalty review rejected by referee Anthony Taylor following Matty Cash challenge on Patrick van Aanholt,AGAINST,24
20/21,Crystal Palace,Penalty conceded (scored by Luka Milivojevic) for handball against Darnell Furlong,FOR,34
20/21,Leeds,Goal for Romain Saiss disallowed for offside in the build-up by Daniel Podence,FOR,54
20/21,Leeds,Penalty awarded (scored by Youri Tielemans) for foul on James Maddison by Mateusz Klich,AGAINST,88
20/21,Leeds,Patrick Bamford goal disallowed for offside,AGAINST,19
20/21,Leeds,Nicolas Pepe sent off for headbutt on Ezgjan Alioski,FOR,51
20/21,Leeds,Penalty retaken (scored by Mateusz Klich) for encroachment by Lukasz Fabianski,FOR,6
20/21,Leeds,Penalty cancelled after Liam Cooper adjudged not to have fouled Bukayo Saka,FOR,35
